"clarity","city","color","cut","x","y","z","depth","table","price","carat"
VS2,Dubai,J,Premium,6.83,6.79,4.25,62.4,58.0,4268,1.21
VS2,Kimberly,H,Very Good,4.35,4.38,2.75,63.0,57.0,505,0.32
VS1,Las Vegas,G,Fair,5.62,5.53,3.65,65.5,55.0,2686,0.71
SI1,Kimberly,D,Good,4.68,4.72,3.0,63.8,56.0,738,0.41
SI1,Dubai,G,Ideal,6.55,6.51,3.95,60.5,59.0,4882,1.02
SI2,Tel Aviv,F,Ideal,7.45,7.39,4.54,61.2,57.0,9057,1.52
VS2,Amsterdam,H,Fair,6.23,6.19,4.05,65.2,56.0,3733,1.01
VS1,Kimberly,J,Ideal,7.32,7.35,4.57,62.3,58.0,8608,1.52
VS1,Zurich,H,Ideal,4.33,4.37,2.69,61.8,54.2,557,0.31
SI1,Antwerp,G,Ideal,6.71,6.75,4.15,61.7,56.0,6741,1.14
SI1,Las Vegas,E,Premium,4.88,4.84,3.03,62.3,59.0,1040,0.44
SI1,Tel Aviv,I,Premium,6.84,6.6,3.9,58.0,58.0,4284,1.02
SI2,Madrid,I,Ideal,6.2,6.22,3.87,62.3,57.0,3101,0.93
VS1,Paris,G,Premium,7.48,7.45,4.49,60.1,58.0,14507,1.51
SI2,Surat,H,Ideal,7.58,7.62,4.68,61.6,55.0,10349,1.65
SI2,Paris,G,Good,7.53,7.49,4.32,57.5,63.0,6006,1.5
VS1,Amsterdam,D,Ideal,4.85,4.87,3.02,62.1,56.0,1207,0.43
VS2,Surat,G,Premium,4.66,4.65,2.83,60.8,61.0,983,0.38
VS1,Luxembourg,I,Ideal,6.08,6.1,3.77,61.9,56.0,3548,0.85
SI2,Tel Aviv,D,Premium,7.45,7.41,4.51,60.7,60.0,11078,1.53
VS2,Kimberly,H,Premium,7.46,7.42,4.54,61.0,60.0,11177,1.54
SI2,London,G,Premium,5.69,5.65,3.52,62.0,59.0,1740,0.71
VS1,Zurich,G,Very Good,4.29,4.33,2.66,61.7,56.0,605,0.3
IF,Amsterdam,G,Ideal,7.03,7.06,4.32,61.3,56.0,12932,1.3
SI1,Madrid,G,Premium,4.28,4.24,2.68,62.9,59.0,574,0.3
SI2,London,I,Ideal,6.45,6.41,3.97,61.7,56.0,2873,1.0
VS2,Antwerp,G,Premium,6.49,6.46,3.99,61.6,54.0,6216,1.0
SI1,New York City,D,Premium,6.16,6.09,3.78,61.7,56.0,3568,0.9
SI1,Antwerp,H,Very Good,7.35,7.31,4.64,63.2,57.0,7066,1.55
SI2,Antwerp,H,Premium,6.46,6.41,3.93,61.1,60.0,3054,1.01
SI2,Tel Aviv,G,Premium,6.72,6.68,4.19,62.5,58.0,4969,1.16
VVS1,Amsterdam,H,Ideal,4.5,4.53,2.8,62.0,53.9,743,0.35
VVS1,Zurich,H,Ideal,6.4,6.48,3.89,60.4,57.0,6801,0.97
SI2,Surat,E,Ideal,6.84,6.87,4.13,60.2,57.0,5717,1.19
VS1,Kimberly,H,Very Good,5.65,5.68,3.52,62.1,56.0,2422,0.7
SI1,Kimberly,H,Very Good,5.93,5.88,3.73,63.2,54.0,2553,0.8
SI2,Dubai,I,Premium,8.13,8.09,4.97,61.3,59.0,14208,2.0
VS2,Antwerp,E,Very Good,5.68,5.59,3.58,63.5,59.0,2858,0.71
SI1,Zurich,F,Premium,6.47,6.43,3.89,60.3,58.0,5292,1.0
SI2,Surat,E,Ideal,5.07,5.03,3.15,62.4,57.0,1240,0.5
VVS2,Kimberly,G,Ideal,5.12,5.15,3.15,61.3,57.0,1875,0.51
SI2,Kimberly,G,Premium,6.57,6.49,4.06,62.2,59.0,3861,1.04
VVS2,Antwerp,G,Ideal,5.53,5.56,3.42,61.8,54.0,2587,0.64
VS2,Surat,E,Ideal,5.95,5.98,3.71,62.2,57.0,3648,0.8
SI1,London,D,Ideal,4.28,4.31,2.66,61.9,56.0,552,0.3
VS2,Kimberly,E,Premium,4.61,4.64,2.86,61.8,58.0,866,0.38
VS1,Antwerp,G,Ideal,4.33,4.37,2.7,62.1,55.0,625,0.31
SI1,New York City,H,Fair,6.69,6.64,3.68,55.2,64.0,3830,1.0
VS2,Surat,G,Ideal,5.94,5.89,3.65,61.7,55.0,3184,0.78
SI1,Zurich,D,Very Good,6.47,6.51,3.88,59.8,59.0,5671,1.0
VS1,New York City,H,Very Good,5.77,5.73,3.47,60.3,63.0,2399,0.7
SI1,Antwerp,F,Very Good,5.51,5.59,3.37,60.7,59.0,1688,0.64
VS1,Surat,I,Ideal,4.37,4.4,2.69,61.3,55.6,513,0.31
VS2,London,G,Ideal,5.15,5.18,3.2,61.9,55.0,1549,0.52
VS1,London,E,Ideal,4.42,4.4,2.76,62.6,57.0,1002,0.33
VVS1,Tel Aviv,H,Very Good,4.31,4.27,2.72,63.4,57.0,878,0.3
